orden,sesion,bloque,paso,patron,color,tipo,valor_certificado,codigo_equipo,uso,K,M,asentamiento,remedida_de_codigo,x_esperada,origen_x,nota
35,2,INICIO,OSCURO,OSCURO,,,0,1,CONTROL,5,4,1,,,,"V4.6: oscuro con la luz alta (#X,1#; AMA, BLA, ROJ, NAR). superficie negra mate; ancla = media de OSCURO inicio y fin de la sesion (P10-C3)"
36,2,INICIO,OSCURO,OSCURO,,,0,3,CONTROL,5,4,1,,,,"V4.6: oscuro con la luz baja (#X,3#; AZU, VER). superficie negra mate; ancla = media de OSCURO inicio y fin de la sesion (P10-C3)"
37,2,A5-INICIO,A5,P22,amarillo,IV,334,2,CONTROL,3,4,1,,,,"V4.6: x con #X de su color, otros papeles. puente y s_rep (P9-A5); no entra en el ajuste"
38,2,A5-INICIO,A5,P28,blanco,IX,484,1,CONTROL,3,4,1,,,,"V4.6: x con #X de su color, otros papeles. puente y s_rep (P9-A5); no entra en el ajuste"
39,2,A5-INICIO,A5,P4,blanco,XI,828,1,CONTROL,3,4,1,,,,"V4.6: x con #X de su color, otros papeles. puente y s_rep (P9-A5); no entra en el ajuste"
40,2,COLOR:rojo,PATRON,P60,rojo,IV,68,4,AJUSTE,3,4,1,,,,"V4.6: x con #X,4#. banco representativo: extremo bajo del tipo IV (G44)"
41,2,COLOR:rojo,PATRON,P11,rojo,IV,194,4,RE-MEDIDA,5,4,1,4,,,"V4.6: x con #X,4#. banco representativo: patron de re-medida (RF-CAL-37)"
42,2,COLOR:rojo,PATRON,P12,rojo,IV,227,4,AJUSTE,3,4,1,,,,"V4.6: x con #X,4#. banco representativo: extremo alto del tipo IV (G47)"
43,2,COLOR:rojo,PATRON,P120,rojo,IX,110,4,AJUSTE,3,4,1,,,,"V4.6: x con #X,4#. banco representativo: extremo bajo del tipo IX (G48)"
44,2,COLOR:rojo,PATRON,P74,rojo,IX,169,4,AJUSTE,3,4,1,,,,"V4.6: x con #X,4#. banco representativo: extremo alto del tipo IX (G50)"
45,2,COLOR:rojo,PATRON,P55,rojo,XI,146,4,AJUSTE,3,4,1,,,,"V4.6: x con #X,4#. banco representativo: extremo bajo del tipo XI (G51)"
46,2,COLOR:rojo,PATRON,P104,rojo,XI,173,4,VERIFICACION,3,4,1,,,,"V4.6: x con #X,4#. banco representativo: verificacion independiente (G53, centro del rango)"
47,2,COLOR:rojo,PATRON,P53,rojo,XI,279,4,AJUSTE,3,4,1,,,,"V4.6: x con #X,4#. banco representativo: extremo alto del tipo XI (G55)"
48,2,COLOR:cafe,PATRON,P68,cafe,IV,36,4,VERIFICACION,3,4,1,,,,"V4.6: x con #X,4#. sin codigo propio: se mide con el del rojo (4); no entra en el ajuste (PA-06); banco representativo: solo verificar (cafe)"
49,2,COLOR:cafe,PATRON,P98,cafe,XI,68,4,VERIFICACION,3,4,1,,,,"V4.6: x con #X,4#. sin codigo propio: se mide con el del rojo (4); no entra en el ajuste (PA-06); banco representativo: solo verificar (cafe)"
50,2,COLOR:lila,PATRON,P69,lila,IV,139,4,VERIFICACION,3,4,1,,,,"V4.6: x con #X,4#. sin codigo propio: se mide con el del rojo (4); no entra en el ajuste (PA-06); banco representativo: solo verificar (lila)"
51,2,COLOR:lila,PATRON,P114,lila,XI,202,4,VERIFICACION,3,4,1,,,,"V4.6: x con #X,4#. sin codigo propio: se mide con el del rojo (4); no entra en el ajuste (PA-06); banco representativo: solo verificar (lila)"
52,2,COLOR:rojo-I,PATRON,P39,rojo,I,46,b,AJUSTE,5,4,1,,,,"V4.6: x con #X,b#. recta anclada; conformidad de Diego a RF-CAL-14 pendiente; banco representativo: codigo de 3-4 puntos: no se reduce"
53,2,COLOR:rojo-I,PATRON,P38,rojo,I,52,b,AJUSTE,5,4,1,,,,"V4.6: x con #X,b#. recta anclada; conformidad de Diego a RF-CAL-14 pendiente; banco representativo: codigo de 3-4 puntos: no se reduce"
54,2,COLOR:rojo-I,PATRON,P49,rojo,I,81,b,RE-MEDIDA,5,4,1,b,,,"V4.6: x con #X,b#. recta anclada; conformidad de Diego a RF-CAL-14 pendiente; banco representativo: codigo de 3-4 puntos: no se reduce"
55,2,COLOR:naranja,PATRON,P71,naranja,IV,84,6,AJUSTE,3,4,1,,,,"V4.6: x con #X,6#. banco representativo: extremo bajo del tipo IV (G60)"
56,2,COLOR:naranja,PATRON,P72,naranja,IV,93,6,AJUSTE,3,4,1,,,,"V4.6: x con #X,6#. banco representativo: extremo alto del tipo IV (G61)"
57,2,COLOR:naranja,PATRON,P131,naranja,IX,102,6,AJUSTE,3,4,1,,,,"V4.6: x con #X,6#. banco representativo: extremo bajo del tipo IX (G62)"
58,2,COLOR:naranja,PATRON,P86,naranja,IX,124,6,RE-MEDIDA,5,4,1,6,,,"V4.6: x con #X,6#. banco representativo: patron de re-medida (RF-CAL-37)"
59,2,COLOR:naranja,PATRON,P87,naranja,IX,131,6,AJUSTE,3,4,1,,,,"V4.6: x con #X,6#. banco representativo: extremo alto del tipo IX (G64)"
60,2,COLOR:naranja,PATRON,P101,naranja,XI,146,6,AJUSTE,3,4,1,,,,"V4.6: x con #X,6#. banco representativo: extremo bajo del tipo XI (G65)"
61,2,COLOR:naranja,PATRON,P117,naranja,XI,154,6,VERIFICACION,3,4,1,,,,"V4.6: x con #X,6#. banco representativo: verificacion independiente (G66, centro del rango)"
62,2,COLOR:naranja,PATRON,P102,naranja,XI,173,6,AJUSTE,3,4,1,,,,"V4.6: x con #X,6#. banco representativo: extremo alto del tipo XI (G67)"
63,2,COLOR:naranja-I,PATRON,P41,naranja,I,73,d,VERIFICACION,3,4,1,,,,"V4.6: x con #X,d#. banco representativo: solo verificar (d)"
64,2,COLOR:verde,PATRON,P64,verde,IV,54,3,AJUSTE,3,4,1,,,,"V4.6: x con #X,3#. banco representativo: extremo bajo del tipo IV (G26)"
65,2,COLOR:verde,PATRON,P63,verde,IV,121,3,AJUSTE,3,4,1,,,,"V4.6: x con #X,3#. banco representativo: extremo alto del tipo IV (G27)"
66,2,COLOR:verde,PATRON,P124,verde,IX,51,3,AJUSTE,3,4,1,,,,"V4.6: x con #X,3#. uno de los 9 verdes certificados en 51 exacto: confirmar certificado; banco representativo: extremo bajo del tipo IX (G28)"
67,2,COLOR:verde,PATRON,P78,verde,IX,97,3,VERIFICACION,3,4,1,,,,"V4.6: x con #X,3#. banco representativo: verificacion independiente (G29, centro del rango)"
68,2,COLOR:verde,PATRON,P123,verde,IX,115,3,RE-MEDIDA,5,4,1,3,,,"V4.6: x con #X,3#. banco representativo: extremo alto del tipo IX (G30)"
69,2,COLOR:verde,PATRON,P109,verde,XI,51,3,AJUSTE,3,4,1,,,,"V4.6: x con #X,3#. uno de los 9 verdes certificados en 51 exacto: confirmar certificado; banco representativo: extremo bajo del tipo XI (G31)"
70,2,COLOR:verde,PATRON,P16,verde,XI,170,3,AJUSTE,3,4,1,,,,"V4.6: x con #X,3#. banco representativo: extremo alto del tipo XI (G33)"
71,2,COLOR:verde-I,PATRON,P40,verde,I,6,a,VERIFICACION,3,4,1,,,,"V4.6: x con #X,a#. a menos de 80 cuentas del oscuro; banco representativo: solo verificar (a)"
72,2,COLOR:azul,PATRON,P67,azul,IV,95,5,AJUSTE,3,4,1,,,,"V4.6: x con #X,5#. uso segun la tabla RF-CAL-37 del APK (PA-14); banco representativo: extremo bajo del tipo IV (G56)"
73,2,COLOR:azul,PATRON,P81,azul,IX,92,5,VERIFICACION,5,4,1,5,,,"V4.6: x con #X,5#. uso segun la tabla RF-CAL-37 del APK (PA-14); banco representativo: re-medida del 5; fuera del ajuste por decision de Diego (P81)"
74,2,COLOR:azul,PATRON,P127,azul,IX,97,5,AJUSTE,3,4,1,,,,"V4.6: x con #X,5#. uso segun la tabla RF-CAL-37 del APK (PA-14); banco representativo: extremo bajo del tipo IX (G57)"
75,2,COLOR:azul,PATRON,P18,azul,XI,84,5,AJUSTE,3,4,1,,,,"V4.6: x con #X,5#. uso segun la tabla RF-CAL-37 del APK (PA-14); banco representativo: extremo bajo del tipo XI (G58)"
76,2,COLOR:azul,PATRON,P19,azul,XI,85,5,VERIFICACION,3,4,1,,,,"V4.6: x con #X,5#. uso segun la tabla RF-CAL-37 del APK (PA-14); banco representativo: verificacion independiente (G58, centro del rango)"
77,2,COLOR:azul,PATRON,P112,azul,XI,101,5,AJUSTE,3,4,1,,,,"V4.6: x con #X,5#. uso segun la tabla RF-CAL-37 del APK (PA-14); banco representativo: extremo alto del tipo XI (G59)"
78,2,COLOR:azul-I,PATRON,P36,azul,I,10,c,VERIFICACION,3,4,1,,,,"V4.6: x con #X,c#. a menos de 80 cuentas del oscuro; banco representativo: solo verificar (c)"
79,2,A5-FIN,A5,P22,amarillo,IV,334,2,CONTROL,3,4,1,,,,"V4.6: x con #X de su color, otros papeles. deriva de la sesion frente a A5-INICIO (RF-CAL-36)"
80,2,A5-FIN,A5,P28,blanco,IX,484,1,CONTROL,3,4,1,,,,"V4.6: x con #X de su color, otros papeles. deriva de la sesion frente a A5-INICIO (RF-CAL-36)"
81,2,A5-FIN,A5,P4,blanco,XI,828,1,CONTROL,3,4,1,,,,"V4.6: x con #X de su color, otros papeles. deriva de la sesion frente a A5-INICIO (RF-CAL-36)"
82,2,FIN,OSCURO,OSCURO,,,0,1,CONTROL,5,4,1,,,,"V4.6: oscuro con la luz alta (#X,1#; AMA, BLA, ROJ, NAR). deriva del oscuro y segunda mitad del ancla"
83,2,FIN,OSCURO,OSCURO,,,0,3,CONTROL,5,4,1,,,,"V4.6: oscuro con la luz baja (#X,3#; AZU, VER). deriva del oscuro y segunda mitad del ancla"
84,2,FIN,EXPORTAR,,,,,,CONTROL,,,,,,,ZIP de la sesion; copia en Download/RTV/
