orden,sesion,bloque,paso,patron,color,tipo,valor_certificado,codigo_equipo,uso,K,M,asentamiento,remedida_de_codigo,x_esperada,origen_x,nota
43,2,COLOR:rojo,PATRON,P12,rojo,IV,227,4,AJUSTE,3,4,1,,1761.9,medida,banco representativo: extremo alto del tipo IV (G47)
44,2,COLOR:rojo,PATRON,P120,rojo,IX,110,4,AJUSTE,3,4,1,,1180,estimada: recta por el oscuro,banco representativo: extremo bajo del tipo IX (G48)
45,2,COLOR:rojo,PATRON,P74,rojo,IX,169,4,AJUSTE,3,4,1,,1510,estimada: recta por el oscuro,banco representativo: extremo alto del tipo IX (G50)
46,2,COLOR:rojo,PATRON,P55,rojo,XI,146,4,AJUSTE,3,4,1,,1381,estimada: recta por el oscuro,banco representativo: extremo bajo del tipo XI (G51)
47,2,COLOR:rojo,PATRON,P104,rojo,XI,173,4,VERIFICACION,3,4,1,,1532,estimada: recta por el oscuro,"banco representativo: verificacion independiente (G53, centro del rango)"
48,2,COLOR:rojo,PATRON,P53,rojo,XI,279,4,AJUSTE,3,4,1,,2124,estimada: recta por el oscuro,banco representativo: extremo alto del tipo XI (G55)
50,2,COLOR:cafe,PATRON,P68,cafe,IV,36,4,VERIFICACION,3,4,1,,767,estimada: recta por el oscuro del rojo intenso (sin datos propios),sin codigo propio: se mide con el del rojo (4); no entra en el ajuste (PA-06); banco representativo: solo verificar (cafe)
51,2,COLOR:cafe,PATRON,P98,cafe,XI,68,4,VERIFICACION,3,4,1,,945,estimada: recta por el oscuro del rojo intenso (sin datos propios),sin codigo propio: se mide con el del rojo (4); no entra en el ajuste (PA-06); banco representativo: solo verificar (cafe)
53,2,COLOR:lila,PATRON,P69,lila,IV,139,4,VERIFICACION,3,4,1,,1342,estimada: recta por el oscuro del rojo intenso (sin datos propios),sin codigo propio: se mide con el del rojo (4); no entra en el ajuste (PA-06); banco representativo: solo verificar (lila)
54,2,COLOR:lila,PATRON,P114,lila,XI,202,4,VERIFICACION,3,4,1,,1694,estimada: recta por el oscuro del rojo intenso (sin datos propios),sin codigo propio: se mide con el del rojo (4); no entra en el ajuste (PA-06); banco representativo: solo verificar (lila)
56,2,COLOR:rojo-I,PATRON,P39,rojo,I,46,b,AJUSTE,5,4,1,,734.3,medida,recta anclada; conformidad de Diego a RF-CAL-14 pendiente; banco representativo: codigo de 3-4 puntos: no se reduce
57,2,COLOR:rojo-I,PATRON,P38,rojo,I,52,b,AJUSTE,5,4,1,,743.9,medida,recta anclada; conformidad de Diego a RF-CAL-14 pendiente; banco representativo: codigo de 3-4 puntos: no se reduce
58,2,COLOR:rojo-I,PATRON,P49,rojo,I,81,b,RE-MEDIDA,5,4,1,b,797.2,medida,recta anclada; conformidad de Diego a RF-CAL-14 pendiente; banco representativo: codigo de 3-4 puntos: no se reduce
60,2,COLOR:naranja,PATRON,P71,naranja,IV,84,6,AJUSTE,3,4,1,,1070,estimada: fabrica invertida,banco representativo: extremo bajo del tipo IV (G60)
61,2,COLOR:naranja,PATRON,P72,naranja,IV,93,6,AJUSTE,3,4,1,,1116,estimada: fabrica invertida,banco representativo: extremo alto del tipo IV (G61)
62,2,COLOR:naranja,PATRON,P131,naranja,IX,102,6,AJUSTE,3,4,1,,1159,estimada: fabrica invertida,banco representativo: extremo bajo del tipo IX (G62)
63,2,COLOR:naranja,PATRON,P86,naranja,IX,124,6,RE-MEDIDA,5,4,1,6,1259,estimada: fabrica invertida,banco representativo: patron de re-medida (RF-CAL-37)
64,2,COLOR:naranja,PATRON,P87,naranja,IX,131,6,AJUSTE,3,4,1,,1289,estimada: fabrica invertida,banco representativo: extremo alto del tipo IX (G64)
65,2,COLOR:naranja,PATRON,P101,naranja,XI,146,6,AJUSTE,3,4,1,,1351,estimada: fabrica invertida,banco representativo: extremo bajo del tipo XI (G65)
66,2,COLOR:naranja,PATRON,P117,naranja,XI,154,6,VERIFICACION,3,4,1,,1383,estimada: fabrica invertida,"banco representativo: verificacion independiente (G66, centro del rango)"
67,2,COLOR:naranja,PATRON,P102,naranja,XI,173,6,AJUSTE,3,4,1,,1457,estimada: fabrica invertida,banco representativo: extremo alto del tipo XI (G67)
69,2,COLOR:naranja-I,PATRON,P41,naranja,I,73,d,VERIFICACION,3,4,1,,898.7,medida,banco representativo: solo verificar (d)
71,2,COLOR:verde,PATRON,P64,verde,IV,54,3,AJUSTE,3,4,1,,654,estimada: recta por el oscuro,banco representativo: extremo bajo del tipo IV (G26)
72,2,COLOR:verde,PATRON,P63,verde,IV,121,3,AJUSTE,3,4,1,,764,estimada: recta por el oscuro,banco representativo: extremo alto del tipo IV (G27)
73,2,COLOR:verde,PATRON,P124,verde,IX,51,3,AJUSTE,3,4,1,,649,estimada: recta por el oscuro,uno de los 9 verdes certificados en 51 exacto: confirmar certificado; banco representativo: extremo bajo del tipo IX (G28)
74,2,COLOR:verde,PATRON,P78,verde,IX,97,3,VERIFICACION,3,4,1,,725,estimada: recta por el oscuro,"banco representativo: verificacion independiente (G29, centro del rango)"
75,2,COLOR:verde,PATRON,P123,verde,IX,115,3,RE-MEDIDA,5,4,1,3,754,estimada: recta por el oscuro,banco representativo: extremo alto del tipo IX (G30)
76,2,COLOR:verde,PATRON,P109,verde,XI,51,3,AJUSTE,3,4,1,,649,estimada: recta por el oscuro,uno de los 9 verdes certificados en 51 exacto: confirmar certificado; banco representativo: extremo bajo del tipo XI (G31)
77,2,COLOR:verde,PATRON,P16,verde,XI,170,3,AJUSTE,3,4,1,,846.7,medida,banco representativo: extremo alto del tipo XI (G33)
79,2,COLOR:verde-I,PATRON,P40,verde,I,6,a,VERIFICACION,3,4,1,,624.7,medida,a menos de 80 cuentas del oscuro; banco representativo: solo verificar (a)
81,2,COLOR:azul,PATRON,P67,azul,IV,95,5,AJUSTE,3,4,1,,856,estimada: recta por el oscuro,uso segun la tabla RF-CAL-37 del APK (PA-14); banco representativo: extremo bajo del tipo IV (G56)
82,2,COLOR:azul,PATRON,P81,azul,IX,92,5,VERIFICACION,5,4,1,5,846,estimada: recta por el oscuro,uso segun la tabla RF-CAL-37 del APK (PA-14); banco representativo: re-medida del 5; fuera del ajuste por decision de Diego (P81)
83,2,COLOR:azul,PATRON,P127,azul,IX,97,5,AJUSTE,3,4,1,,862,estimada: recta por el oscuro,uso segun la tabla RF-CAL-37 del APK (PA-14); banco representativo: extremo bajo del tipo IX (G57)
84,2,COLOR:azul,PATRON,P18,azul,XI,84,5,AJUSTE,3,4,1,,813.4,medida,uso segun la tabla RF-CAL-37 del APK (PA-14); banco representativo: extremo bajo del tipo XI (G58)
85,2,COLOR:azul,PATRON,P19,azul,XI,85,5,VERIFICACION,3,4,1,,823.6,medida,"uso segun la tabla RF-CAL-37 del APK (PA-14); banco representativo: verificacion independiente (G58, centro del rango)"
86,2,COLOR:azul,PATRON,P112,azul,XI,101,5,AJUSTE,3,4,1,,874,estimada: recta por el oscuro,uso segun la tabla RF-CAL-37 del APK (PA-14); banco representativo: extremo alto del tipo XI (G59)
88,2,COLOR:azul-I,PATRON,P36,azul,I,10,c,VERIFICACION,3,4,1,,638.8,medida,a menos de 80 cuentas del oscuro; banco representativo: solo verificar (c)
90,2,A5-FIN,A5,P22,amarillo,IV,334,e,CONTROL,3,4,1,,1497.0,medida,deriva de la sesion frente a A5-INICIO (RF-CAL-36)
91,2,A5-FIN,A5,P28,blanco,IX,484,e,CONTROL,3,4,1,,2277.9,medida,deriva de la sesion frente a A5-INICIO (RF-CAL-36)
92,2,A5-FIN,A5,P4,blanco,XI,828,e,CONTROL,3,4,1,,3315.8,medida,deriva de la sesion frente a A5-INICIO (RF-CAL-36)
93,2,FIN,OSCURO,OSCURO,,,0,e,CONTROL,5,4,1,,565,medida,deriva del oscuro y segunda mitad del ancla
94,2,FIN,EXPORTAR,,,,,,CONTROL,,,,,,,ZIP de la sesion; copia en Download/RTV/
